id;about;title;estado;bicisDisponibles;anclajesDisponibles;geometry;lastUpdated;description;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/73";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=73";"C/ Margarita Xirgu - Avda. G. Gómez de Avellaneda";"OPN";"7";"14";"-0.8909656569108618,41.67806593134252";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/69";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=69";"Avda. Pablo Ruiz Picasso - C/ Mújica Lainez ";"OPN";"13";"8";"-0.8933807639916627,41.672838919491504";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 8</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/70";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=70";"Avda. Mª Zambrano - C/ Ildefonso Manuel Gil";"OPN";"4";"16";"-0.8891527433426912,41.67148486378287";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/71";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=71";"C/ Luis Legaz Lacambra - C/ Octavio Paz";"OPN";"9";"12";"-0.8935547163515988,41.675952944034336";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 12</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/66";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=66";"C/ Pablo Neruda - C/ Averroes";"OPN";"5";"16";"-0.886100731866414,41.67029582201915";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/67";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=67";"Avda. G. Gómez de Avellaneda - C/ Clara Campoamor";"OPN";"1";"20";"-0.8901247991248967,41.66858185317812";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 1</li><li>Anclajes disponibles: 20</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/68";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=68";"Avda. Mª Zambrano - C/ Julio García Condoy";"OPN";"9";"10";"-0.8890826853234808,41.6750918892897";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 9</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/63";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=63";"Avda. Valle de Broto - Parque Tío Jorge";"OPN";"7";"13";"-0.8763946987996004,41.666325687766296";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/64";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=64";"Avda. Valle de Broto - Avda. Pirineos";"OPN";"12";"9";"-0.8811407512760876,41.66598573677602";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/65";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=65";"Avda. G. Gómez de Avellaneda - Intercambiador";"OPN";"11";"10";"-0.8868698013744774,41.66640680200942";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/60";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=60";"C/ Sangüesa Castañosa - C/ F. Oliván Bayle";"OPN";"12";"9";"-0.871250697210714,41.66296460739284";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/61";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=61";"C/ Sixto Celorrio - C/ Peña Oroel";"OPN";"12";"9";"-0.8755307277042103,41.66380065993328";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/62";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=62";"Avda. Marqués de la Cadena - Avda. San Juan de la ";"OPN";"11";"10";"-0.8717256462825183,41.66671463995713";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/57";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=57";"Pº de la Ribera - C/ Sobrarbe";"OPN";"13";"8";"-0.8742617864824214,41.65881160967062";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 8</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/58";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=58";"Avda. Valle de Zuriza - Avda. Cataluña";"OPN";"4";"16";"-0.8697007191596411,41.66035057147025";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 16</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/59";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=59";"Plaza Mozart";"OPN";"6";"15";"-0.8655896594803854,41.66167253655205";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/54";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=54";"Avda. Madrid - Pº Calanda";"OPN";"8";"13";"-0.9046201645017938,41.65356190034288";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/55";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=55";"Avda. Marqués de la Cadena - C/ Miguel Asso";"OPN";"4";"17";"-0.8618336626405754,41.65883147506715";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/56";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=56";"C/ Balbino Orensanz - C/ Carmelo Betoré Bergua";"OPN";"2";"19";"-0.8590116821384133,41.65548642003575";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 2</li><li>Anclajes disponibles: 19</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/51";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=51";"Plaza Roma";"OPN";"12";"9";"-0.8986951598318816,41.6497868083588";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/52";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=52";"Avda. Duquesa Villahermosa - C/ Franco y López";"OPN";"6";"15";"-0.9022812207938777,41.64805083445971";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/53";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=53";"Avda. Madrid - Avda. Navarra ";"OPN";"11";"9";"-0.9009421106743575,41.6547458691625";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/49";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=49";"Avda. Goya - Avda. Anselmo Clavé";"OPN";"7";"14";"-0.893773135801213,41.64803674215505";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/50";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=50";"Avda. San Juan Bosco - C/ Menéndez Pelayo";"OPN";"6";"14";"-0.9004172518922118,41.644603788902636";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/46";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=46";"Avda. Goya - C/ Baltasar Gracián ";"OPN";"16";"5";"-0.8927171764421711,41.644478704564825";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 16</li><li>Anclajes disponibles: 5</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/47";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=47";"Plaza San Francisco - Universidad";"OPN";"12";"9";"-0.8949312426263255,41.64142570609617";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/48";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=48";"Plaza Mariano Arregui";"OPN";"5";"15";"-0.8904791058153891,41.64782870493307";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 5</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/43";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=43";"Avda. Goya - C/ Arzobispo Domenech";"OPN";"7";"14";"-0.8880091512386086,41.64294564230195";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/44";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=44";"Pº Sagasta - Cno. de las Torres";"OPN";"4";"17";"-0.8865371786214757,41.640008604777556";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 4</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/45";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=45";"C/ Gran Vía - Facultad Económicas";"OPN";"15";"6";"-0.887729097793714,41.64647066516345";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 15</li><li>Anclajes disponibles: 6</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/40";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=40";"Avda. Cesáreo Alierta - C/ Félix Burriel";"OPN";"15";"6";"-0.8752840323022825,41.642331499988614";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 15</li><li>Anclajes disponibles: 6</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/41";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=41";"Plaza Schweitzer";"OPN";"12";"9";"-0.8823981031301834,41.64237257732546";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 12</li><li>Anclajes disponibles: 9</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/42";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=42";"Avda. Tenor Fleta - C/ Uncastillo";"OPN";"3";"18";"-0.8811201274980333,41.63977554441432";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 18</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/36";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=36";"Cno. de las Torres - C/ Silvestre Pérez";"OPN";"6";"15";"-0.8669148613306864,41.6484364540964";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 15</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/37";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=37";"C/ Florentino Ballesteros - C/ Matadero";"OPN";"13";"7";"-0.868672928018009,41.64499244790984";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 13</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/38";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=38";"Cno. de las Torres - C/ Roger de Tur";"OPN";"7";"14";"-0.872316935390849,41.64703350233482";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/39";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=39";"Cno. de las Torres - Avda. Cesáreo Alierta";"OPN";"11";"10";"-0.8776370138030152,41.64527554706918";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/33";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=33";"Plaza del Pilar - Edificio Turismo ";"OPN";"3";"17";"-0.8781038715077987,41.65554262739186";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 17</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/34";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=34";"Plaza Magdalena";"OPN";"17";"2";"-0.8733258730100609,41.65210655043524";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 17</li><li>Anclajes disponibles: 2</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/35";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=35";"Pº Echegaray y Caballero - C/ Salvador Minguijón";"OPN";"14";"7";"-0.8606397579152677,41.65129740705336";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 14</li><li>Anclajes disponibles: 7</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/29";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=29";"Avda. Madrid - Aljafería";"OPN";"3";"18";"-0.8966620546346464,41.65567082954474";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 18</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/30";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=30";"Avda. Pablo Gargallo - Avda. Puerta Sancho";"OPN";"17";"4";"-0.9014560223853808,41.661208922202334";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 17</li><li>Anclajes disponibles: 4</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/31";"http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=31";"Avda. Pablo Gargallo - C/ Ignacio Menaya";"OPN";"18";"3";"-0.8958199852776139,41.65989785143721";2018-12-05T18:42:00Z;"<ul><li>Estado: Operativa</li><li>Bicis disponibles: 18</li><li>Anclajes disponibles: 3</li></ul><p>Actualizado: 18:42</p>";"//www.zaragoza.es/contenidos/iconos/bizi/conbicis.png"
